county,batch,page_type,url,external,notes
Anderson,2,elections,https://www.andersoncountytx.gov/page/Elections,false,"found via link ""Elections & Voting"" score=25"
Anderson,2,polling,,false,GAP: no distinct page found (likely folded into elections page)
Anderson,2,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Anderson,2,results,,false,GAP: no distinct page found (likely folded into elections page)
Andrews,2,elections,https://www.co.andrews.tx.us/190/Elections-Department,false,"found via link ""Elections"" score=20"
Andrews,2,polling,https://www.co.andrews.tx.us/BusinessDirectoryII.aspx?lngBusinessCategoryID=23,false,"found via ""Polling Locations"" score=21"
Andrews,2,early_voting,https://www.co.andrews.tx.us/192/Election-Information,false,no standing early_voting page; using per-election hub page (shared with other types) — review
Andrews,2,results,https://www.co.andrews.tx.us/193/Election-Results,false,"found via ""Election Results"" score=21"
Angelina,2,elections,https://www.angelinacounty.net/elections/,false,"found via link ""Elections"" score=20"
Angelina,2,polling,,false,GAP: no county-specific page found (best candidate was an unrelated third-party site)
Angelina,2,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Angelina,2,results,,false,GAP: no distinct page found (likely folded into elections page)
Aransas,2,elections,https://www.aransascountytx.gov/electionadmin/,true,"found via link ""Elections Administration"" score=18 [via headless render]"
Aransas,2,polling,https://www.aransascountytx.gov/electionadmin/precinctmap.php,true,"found via ""Interactive Precinct Map"" score=3 (weak match — review)"
Aransas,2,early_voting,https://www.aransascountytx.gov/electionadmin/voteelectinfo.php,true,no standing early_voting page; using per-election hub page (shared with other types) — review
Aransas,2,results,https://www.aransascountytx.gov/main/elecres.php,true,"found via ""Election Results"" score=21"
Archer,2,elections,https://www.co.archer.tx.us/page/archer.Elections,false,"found via link ""Elections"" score=20"
Archer,2,polling,,false,GAP: no distinct page found (likely folded into elections page)
Archer,2,early_voting,,false,GAP: no distinct page found (likely folded into elections page)
Archer,2,results,,false,GAP: candidate is non-HTML (image/jpeg) — out of scope
Armstrong,2,elections,https://www.co.armstrong.tx.us/page/armstrong.Elections,false,"found via link ""Elections"" score=20"
Armstrong,2,polling,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Armstrong,2,early_voting,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Armstrong,2,results,,false,GAP: candidate is non-HTML (application/vnd.openxmlfo) — out of scope
Atascosa,2,elections,https://co.atascosa.tx.us/elections-administration/,false,"found via link ""Elections Administration"" score=20"
Atascosa,2,polling,https://co.atascosa.tx.us/precinct-map/,false,"found via ""Precinct Map"" score=5 (weak match — review)"
