county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Harris,1,homepage,https://www.harriscountytx.gov/,false,seed,ok,200,,confident,"[plain] county name 'Harris' in page; seat 'Houston' in page | homepage keywords: county | title=""Harris County | Texas""",
Harris,1,elections,https://www.harrisvotes.com/,true,Harris County Clerk elections portal,ok,200,,confident,"[plain] county name 'Harris' in page; seat 'Houston' in page | elections keywords: election, voter, voting, ballot | title=""Home""",
Harris,1,polling,https://www.harrisvotes.com/Vote-Centers,true,Election-day vote centers; JS-driven,ok,200,,likely,"[headless] thin content (76 chars); 'Harris' in domain | polling keywords: vote center | title=""Vote Centers""",
Harris,1,early_voting,,true,GAP: EV published only as PDF (/EV-Poster redirects to PDF); no HTML page,gap,,,gap,GAP: EV published only as PDF (/EV-Poster redirects to PDF); no HTML page,
Harris,1,results,https://www.harrisvotes.com/Election-Results,true,Results portal; JS shell,ok,200,,confident,"[plain] county name 'Harris' in page; seat 'Houston' in page | results keywords: election result, results | title=""Election Results""",
Dallas,1,homepage,https://www.dallascounty.org/,false,seed,ok,200,,confident,"[plain] county name 'Dallas' in page; seat 'Dallas' in page | homepage keywords: county | title=""Dallas County | Home""",
Dallas,1,elections,https://www.dallascountyvotes.org/,true,Dallas County Elections portal,ok,200,,confident,"[plain] county name 'Dallas' in page; seat 'Dallas' in page | elections keywords: election, voter, voting, ballot | title=""Dallas County Elections Department – Dallas County Elections – Your tr""",
Dallas,1,polling,https://www.dallascountyvotes.org/vote-centers/,true,Vote centers w/ interactive map,ok,200,https://mailchi.mp/dallascountyvotes.org/lu4b864r3c,confident,"[headless] 'Dallas' in domain | polling keywords: vote center, election day | title=""110326 - Early Voting & Election Day Vote Centers""",
Dallas,1,early_voting,https://www.dallascountyvotes.org/early-voting/,true,Early voting info page,ok,200,,confident,"[plain] county name 'Dallas' in page; seat 'Dallas' in page | early_voting keywords: early voting | title=""Early Voting – Dallas County Elections Department""",
Dallas,1,results,https://www.dallascountyvotes.org/election-results/,true,Results w/ ENR tool; JS-rendered,ok,200,,confident,"[plain] county name 'Dallas' in page; seat 'Dallas' in page | results keywords: election result, results, election night, unofficial | title=""Election Results – Dallas County Elections Department""",
Tarrant,1,homepage,https://www.tarrantcountytx.gov/,false,"seed; bare host tarrantcountytx.gov has TLS cert mismatch, use www",ok,200,https://www.tarrantcountytx.gov/en.html,confident,"[plain] county name 'Tarrant' in page; seat 'Fort Worth' in page | homepage keywords: county | title=""Tarrant County - Home""",
Tarrant,1,elections,https://www.tarrantcountytx.gov/en/elections.html,false,County elections landing,ok,200,,confident,"[plain] county name 'Tarrant' in page; seat 'Fort Worth' in page | elections keywords: election, voter, voting, ballot | title=""Elections""",
Tarrant,1,polling,https://gisit.tarrantcounty.com/tcvotingwaittime/,true,Polling/wait-time lookup; JS map; diff domain tarrantcounty.com,ok,200,,confident,"[plain] county name 'Tarrant' in page | polling keywords: voting center | title=""TC - Voting Center Lookup""",
